"","year","length","rating","genre"
"13692",1927,80,7.8,"Drama"
"13693",1995,6,9,"Animation"
"13694",2002,5,6.1,"Animation"
"13695",1937,9,6.5,"Documentary"
"13696",1991,110,2.1,"Comedy"
"13697",2001,90,6.4,"Documentary"
"13698",1999,97,4.6,"Documentary"
"13699",1992,109,7.2,"Drama"
"13700",1933,105,7.4,"Drama"
"13701",2000,167,4.3,"Drama"
"13702",1977,165,7.7,"Action"
"13703",1992,120,8.4,"Drama"
"13704",1995,125,1,"Drama"
"13705",1989,137,7.7,"Drama"
"13706",1968,76,7.6,"Comedy"
"13707",2003,180,7.3,"Action"
"13708",2004,129,7,"Action"
"13709",1973,130,8.4,"Misc"
"13710",1977,18,5.6,"Documentary"
"13711",1975,130,4.7,"Comedy"
"13712",1980,92,7.7,"Action"
"13713",2004,107,8,"Documentary"
"13714",1992,75,5.3,"Drama"
"13715",1986,14,8.3,"Short"
"13716",1995,29,6.4,"Short"
"13717",1946,122,7.6,"Drama"
"13718",1948,125,4.7,"Misc"
"13719",1972,89,6.6,"Misc"
"13720",1962,120,6.9,"Comedy"
"13721",1905,4,6.9,"Comedy"
"13722",1969,90,6.2,"Comedy"
"13723",1977,95,7.3,"Drama"
"13724",2002,105,6.9,"Drama"
"13725",1994,87,7.4,"Documentary"
"13726",1991,86,6.1,"Misc"
"13727",2004,108,6.5,"Comedy"
"13728",1968,99,4.7,"Action"
"13729",1996,107,5,"Drama"
"13730",1955,116,8.2,"Misc"
"13731",1977,97,6.5,"Comedy"
"13732",1966,99,2.3,"Misc"
"13733",2002,10,7.4,"Comedy"
"13734",1975,95,6.1,"Misc"
"13735",1949,75,7,"Comedy"
"13736",1984,95,6.6,"Drama"
"13737",1958,89,6.6,"Comedy"
"13738",1965,6,6.2,"Animation"
"13739",1950,75,6.3,"Drama"
"13740",1998,68,7.8,"Documentary"
"13741",1954,105,7.8,"Misc"
"13742",1955,63,6.3,"Drama"
"13743",1973,90,6.9,"Comedy"
"13744",1982,62,5.3,"Documentary"
"13745",1994,90,6.8,"Misc"
"13746",1976,94,3.4,"Misc"
"13747",1983,82,5.5,"Misc"
"13748",1949,90,5.8,"Drama"
"13749",1947,9,6.7,"Short"
"13750",1963,107,5.2,"Drama"
"13751",1945,104,6.3,"Misc"
"13752",1935,88,6.5,"Drama"
"13753",2000,100,6.8,"Drama"
"13754",1986,92,3,"Action"
"13755",1940,155,6.3,"Misc"
"13756",1954,80,3.9,"Romance"
"13757",1996,110,2.6,"Action"
"13758",1989,84,4.1,"Drama"
"13759",1998,91,1.9,"Action"
"13760",1975,108,5,"Drama"
"13761",1999,91,5.4,"Comedy"
"13762",1971,120,6.6,"Action"
"13763",2001,73,8,"Documentary"
"13764",1968,102,4.3,"Comedy"
"13765",1996,100,1.6,"Comedy"
"13766",1974,84,5.1,"Comedy"
"13767",1980,94,5.4,"Action"
"13768",1997,98,5.6,"Comedy"
"13769",1956,110,5.6,"Drama"
"13770",1969,10,6.3,"Comedy"
"13771",1990,23,5,"Short"
"13772",2001,95,6.4,"Misc"
"13773",1969,177,6.4,"Documentary"
"13774",2003,108,3.9,"Comedy"
"13775",1993,94,4.8,"Drama"
"13776",1997,56,3.3,"Documentary"
"13777",1998,96,4.8,"Drama"
"13778",1973,100,4,"Drama"
"13779",2004,128,8,"Drama"
"13780",1998,8,6.6,"Short"
"13781",1945,40,6.8,"Documentary"
"13782",2005,92,9.5,"Misc"
"13783",1946,91,7,"Drama"
"13784",2001,77,6.1,"Drama"
"13785",1959,72,3,"Drama"
"13786",1991,90,5.1,"Drama"
"13787",2005,116,3.9,"Comedy"
"13788",1970,104,6.6,"Comedy"
"13789",1963,96,5.8,"Misc"
"13790",1961,72,3.9,"Comedy"
"13791",2001,93,2.9,"Drama"
"13792",1959,20,7.1,"Short"
"13793",2001,85,6.5,"Drama"
"13794",1980,18,4.7,"Short"
"13795",1969,100,5.1,"Drama"
"13796",1965,78,3.6,"Misc"
"13797",1986,114,5.6,"Drama"
"13798",1963,103,6.2,"Comedy"
"13799",1998,90,1.2,"Animation"
"13800",2002,80,3.3,"Animation"
"13801",1991,88,4.6,"Comedy"
"13802",1949,120,6.9,"Comedy"
"13803",1990,96,4,"Drama"
"13804",1994,91,5.1,"Misc"
"13805",1962,100,6.6,"Comedy"
"13806",1999,94,6.3,"Comedy"
"13807",1949,73,4.6,"Action"
"13808",1975,81,8,"Animation"
"13809",1945,61,5.4,"Action"
"13810",1990,105,5.7,"Action"
"13811",1947,65,5.5,"Action"
"13812",1938,254,7.8,"Action"
"13813",1941,263,8,"Action"
"13814",1946,62,5.3,"Action"
"13815",1947,60,5.4,"Action"
"13816",1939,302,7.5,"Action"
"13817",1925,70,7.1,"Misc"
"13818",2000,10,7.3,"Comedy"
"13819",1982,86,3.1,"Comedy"
"13820",2003,98,5.5,"Comedy"
"13821",1962,7,2.5,"Animation"
"13822",2003,74,2.8,"Documentary"
"13823",2001,4,5.8,"Short"
"13824",2002,28,6.7,"Short"
"13825",1968,96,3.2,"Comedy"
"13826",1986,92,4.8,"Comedy"
"13827",1985,88,6,"Comedy"
"13828",1997,105,6.4,"Comedy"
"13829",1997,81,3.3,"Documentary"
"13830",2001,90,7.6,"Misc"
"13831",2002,133,6.4,"Action"
"13832",1988,131,8,"Action"
"13833",1997,2,7.5,"Animation"
"13834",1990,124,6.7,"Action"
"13835",1998,88,1.5,"Comedy"
"13836",1995,131,7,"Action"
"13837",1980,108,3.6,"Comedy"
"13838",1971,84,4,"Drama"
"13839",1972,82,4.1,"Misc"
"13840",2005,97,6.1,"Comedy"
"13841",1979,88,6.1,"Misc"
"13842",1990,126,7.6,"Action"
"13843",1989,104,8,"Action"
"13844",2003,10,6.6,"Comedy"
"13845",2003,90,6.2,"Comedy"
"13846",1965,75,5,"Misc"
"13847",1996,93,5.2,"Misc"
"13848",1977,81,5.1,"Misc"
"13849",1963,104,3.9,"Action"
"13850",1983,100,7.1,"Drama"
"13851",2004,134,9.1,"Documentary"
"13852",2001,100,5.7,"Comedy"
"13853",1994,90,3.8,"Misc"
"13854",1998,120,7.3,"Comedy"
"13855",2004,15,5,"Short"
"13856",1962,102,4.4,"Drama"
"13857",2004,11,7.5,"Comedy"
"13858",2004,96,5,"Drama"
"13859",1978,108,5.1,"Drama"
"13860",1998,75,3.1,"Drama"
"13861",1996,92,6.8,"Comedy"
"13862",1956,61,5.7,"Comedy"
"13863",1973,88,5,"Comedy"
"13864",1993,95,4.5,"Comedy"
"13865",1990,85,2.1,"Misc"
"13866",1998,98,6.4,"Drama"
"13867",2001,91,5,"Drama"
"13868",1992,98,6.6,"Drama"
"13869",2000,82,3.4,"Action"
"13870",1995,95,4.6,"Action"
"13871",1997,5,5.5,"Short"
"13872",1950,100,6.1,"Misc"
"13873",1960,89,6.4,"Misc"
"13874",1974,88,6.3,"Misc"
"13875",1976,81,5.5,"Misc"
"13876",1979,134,4.6,"Drama"
"13877",1962,97,8.8,"Misc"
"13878",1993,98,3.8,"Action"
"13879",1973,89,6.6,"Comedy"
"13880",1990,172,7,"Comedy"
"13881",1992,164,5.9,"Romance"
"13882",2001,183,7.1,"Drama"
"13883",1959,187,6.5,"Romance"
"13884",1966,169,8.5,"Romance"
"13885",2002,185,6,"Drama"
"13886",2003,150,5.5,"Romance"
"13887",2000,148,5.5,"Drama"
"13888",1998,151,7.2,"Drama"
"13889",1997,179,6.5,"Comedy"
"13890",2002,63,8.6,"Comedy"
"13891",1999,2,4.8,"Short"
"13892",1997,100,4.9,"Comedy"
"13893",1990,97,6.1,"Misc"
"13894",1997,83,3.9,"Action"
"13895",1999,118,7.1,"Comedy"
"13896",1997,125,7.4,"Drama"
"13897",1999,91,5.1,"Comedy"
"13898",1945,70,6.3,"Drama"
"13899",1973,107,6.4,"Action"
"13900",1995,95,4.4,"Action"
"13901",2003,109,6.4,"Comedy"
"13902",1995,181,7.1,"Comedy"
"13903",1985,88,6.5,"Comedy"
"13904",1962,110,8.5,"Drama"
"13905",1979,94,6.3,"Comedy"
"13906",1955,7,6.5,"Animation"
"13907",1963,94,6.5,"Comedy"
"13908",2004,10,10,"Short"
"13909",2004,8,9.9,"Short"
"13910",1966,91,4.7,"Misc"
"13911",1990,100,4.6,"Misc"
"13912",1980,110,6.8,"Drama"
"13913",2002,16,5,"Drama"
"13914",1967,95,4.5,"Comedy"
"13915",1936,79,6.4,"Misc"
"13916",1999,39,5.8,"Short"
"13917",1964,93,6.5,"Comedy"
"13918",1982,110,7.2,"Comedy"
"13919",1942,8,6,"Animation"
"13920",1946,61,4,"Comedy"
"13921",1990,96,6.3,"Comedy"
"13922",1973,86,4.1,"Action"
"13923",2001,81,8.1,"Comedy"
"13924",1965,98,6.6,"Action"
"13925",1988,8,5.2,"Animation"
"13926",1991,109,6.3,"Drama"
"13927",1935,65,4.2,"Drama"
"13928",2000,7,6.1,"Animation"
"13929",1997,9,2.3,"Comedy"
"13930",2000,99,7.3,"Drama"
"13931",1997,89,5.3,"Comedy"
"13932",2001,85,6.1,"Comedy"
"13933",1933,113,7.6,"Comedy"
"13934",1999,93,5.1,"Comedy"
"13935",1937,77,5.7,"Romance"
"13936",1996,7,8,"Animation"
"13937",2002,6,8.6,"Short"
"13938",2001,9,5.1,"Short"
"13939",1957,94,6.7,"Drama"
"13940",1980,13,5.7,"Animation"
"13941",2000,82,6.3,"Animation"
"13942",1996,86,5.3,"Misc"
"13943",2000,91,5.8,"Drama"
"13944",1994,85,3.2,"Action"
"13945",1996,94,4,"Action"
"13946",1915,5,5.8,"Animation"
"13947",1960,85,4,"Misc"
"13948",1968,109,5.8,"Action"
"13949",1966,93,4.8,"Drama"
"13950",1973,85,4.6,"Comedy"
"13951",1970,85,5.4,"Drama"
"13952",1948,120,8,"Drama"
"13953",1947,107,5.8,"Drama"
"13954",1933,61,6.8,"Comedy"
"13955",2000,52,8.1,"Documentary"
"13956",2002,29,9,"Drama"
"13957",1958,65,5.8,"Drama"
"13958",1952,97,6.8,"Drama"
"13959",1999,96,3.5,"Action"
"13960",1966,74,5.9,"Comedy"
"13961",1979,110,6.5,"Drama"
"13962",1994,7,7.9,"Animation"
"13963",2004,97,5.3,"Action"
"13964",1994,89,4,"Action"
"13965",2003,55,5.8,"Documentary"
"13966",1971,99,5.3,"Documentary"
"13967",1986,60,7.7,"Documentary"
"13968",2001,86,8.4,"Comedy"
"13969",2004,20,9.4,"Comedy"
"13970",1968,27,5.5,"Short"
"13971",1982,99,8,"Drama"
"13972",1931,100,5.9,"Misc"
"13973",1994,80,1.8,"Comedy"
"13974",2000,92,6.9,"Comedy"
"13975",1983,81,3.5,"Comedy"
"13976",1979,95,5.8,"Documentary"
"13977",2001,102,5.5,"Comedy"
"13978",2003,91,7.3,"Comedy"
"13979",1986,96,3.9,"Comedy"
"13980",2001,90,5.3,"Drama"
"13981",1972,89,2,"Action"
"13982",1999,85,4.2,"Comedy"
"13983",1998,94,6.5,"Comedy"
"13984",1998,9,4.5,"Animation"
"13985",1987,100,5.9,"Drama"
"13986",1988,87,3.5,"Documentary"
"13987",2004,86,5.4,"Drama"
"13988",1982,80,4.4,"Misc"
"13989",2002,97,6.2,"Comedy"
"13990",2002,10,9.1,"Short"
"13991",1970,91,5.2,"Comedy"
"13992",1967,145,7.7,"Action"
"13993",1965,91,5.6,"Misc"
"13994",1946,65,5,"Drama"
"13995",1984,90,6.5,"Misc"
"13996",1964,82,4,"Drama"
"13997",1971,99,7.6,"Action"
"13998",1971,7,5.8,"Action"
"13999",2004,29,7.8,"Comedy"
"14000",1987,79,2.7,"Comedy"
"14001",1972,93,5.2,"Misc"
"14002",1974,93,5.8,"Action"
"14003",1970,84,6,"Comedy"
"14004",1995,105,4.5,"Action"
"14005",1974,89,7.3,"Drama"
"14006",2002,97,7.6,"Drama"
"14007",1988,110,6.9,"Comedy"
"14008",1999,91,4.3,"Misc"
"14009",2004,89,6.1,"Comedy"
"14010",1985,70,7.5,"Misc"
"14011",1984,99,4.6,"Misc"
"14012",1981,91,3.6,"Comedy"
"14013",1993,102,4.4,"Drama"
"14014",1975,75,5.2,"Misc"
"14015",1989,98,2.4,"Drama"
"14016",1933,19,7.5,"Comedy"
"14017",1934,70,4.1,"Comedy"
"14018",1998,82,5.9,"Comedy"
"14019",1995,107,6.3,"Comedy"
"14020",2004,25,8.8,"Short"
"14021",1996,120,5.7,"Drama"
"14022",1997,114,5.9,"Misc"
"14023",1997,105,5.8,"Comedy"
"14024",1977,100,5.5,"Drama"
"14025",2001,15,8.1,"Comedy"
"14026",2001,90,2.6,"Action"
"14027",2003,105,7.5,"Comedy"
"14028",2001,102,3.9,"Drama"
"14029",1972,84,1.7,"Misc"
"14030",1915,50,7.6,"Misc"
"14031",1983,30,4.4,"Short"
"14032",1994,128,5.9,"Drama"
"14033",1979,93,3.3,"Action"
"14034",2002,44,6,"Short"
"14035",2001,93,5.9,"Drama"
"14036",1991,30,6.5,"Short"
"14037",1964,84,5.5,"Comedy"
"14038",1993,40,6.8,"Drama"
"14039",1990,53,4.3,"Drama"
"14040",2001,127,7,"Drama"
"14041",1993,97,4.2,"Misc"
"14042",1957,65,3.5,"Misc"
"14043",1933,66,7.8,"Romance"
"14044",2001,10,6.4,"Short"
"14045",1933,7,5,"Animation"
"14046",2000,97,7.3,"Comedy"
"14047",1990,135,9,"Drama"
"14048",1931,91,7.2,"Drama"
"14049",1947,85,6,"Drama"
"14050",2004,80,6.9,"Drama"
"14051",2002,113,6.8,"Drama"
"14052",1946,95,8.2,"Misc"
"14053",1936,16,7.6,"Comedy"
"14054",1987,86,3.7,"Comedy"
"14055",1964,90,6.1,"Comedy"
"14056",1962,105,6.4,"Drama"
"14057",1989,98,5.2,"Action"
"14058",1999,90,8.3,"Comedy"
"14059",1990,109,7.3,"Action"
"14060",1998,100,5.6,"Drama"
"14061",1938,100,7.2,"Misc"
"14062",1940,90,7.1,"Drama"
"14063",1985,3,8.7,"Short"
"14064",1929,87,6.9,"Drama"
"14065",1991,68,8.9,"Misc"
"14066",2003,107,6.6,"Misc"
"14067",1975,93,6.1,"Drama"
"14068",2001,135,6.7,"Misc"
"14069",1993,92,4.6,"Misc"
"14070",1951,101,6.1,"Action"
"14071",1992,94,3.8,"Action"
"14072",1999,100,4.5,"Misc"
"14073",1988,114,5.1,"Drama"
"14074",1964,96,5.7,"Misc"
"14075",1988,85,7,"Drama"
"14076",1992,96,5.7,"Misc"
"14077",2000,81,8.2,"Drama"
"14078",1992,112,5.7,"Comedy"
"14079",1943,108,9.8,"Drama"
"14080",1987,98,4.8,"Misc"
"14081",1999,86,5.9,"Drama"
"14082",1970,85,6.3,"Comedy"
"14083",1899,1,3.6,"Documentary"
"14084",1958,94,4.9,"Drama"
"14085",1990,96,4.7,"Misc"
"14086",1998,84,5.1,"Misc"
"14087",1981,98,5,"Drama"
"14088",1974,100,7,"Drama"
"14089",1977,102,7,"Drama"
"14090",1969,98,4.7,"Drama"
"14091",1997,11,8.5,"Short"
"14092",1946,99,8.7,"Drama"
"14093",1937,17,6.6,"Comedy"
"14094",1914,37,7,"Drama"
"14095",1981,123,7.2,"Action"
"14096",2003,90,6.2,"Documentary"
"14097",2003,45,8.9,"Misc"
"14098",1941,132,6.5,"Drama"
"14099",1976,87,1.8,"Misc"
"14100",2000,93,5.1,"Drama"
"14101",1943,57,7.3,"Documentary"
"14102",1954,89,6.6,"Drama"
"14103",1997,87,9,"Documentary"
"14104",1999,34,4.8,"Drama"
"14105",1989,102,5.4,"Misc"
"14106",1976,115,4.4,"Drama"
"14107",1987,107,7.1,"Misc"
"14108",2003,14,6.2,"Short"
"14109",1991,90,2.9,"Misc"
"14110",1993,11,4.8,"Animation"
"14111",1985,52,5.8,"Documentary"
"14112",1929,99,6.6,"Drama"
"14113",1980,110,6.4,"Comedy"
"14114",2001,100,7.1,"Drama"
"14115",1999,93,5.7,"Comedy"
"14116",2002,116,5.5,"Comedy"
"14117",1998,97,7.1,"Documentary"
"14118",1985,110,5.6,"Documentary"
"14119",1998,88,5.5,"Documentary"
"14120",1997,102,3.9,"Comedy"
"14121",1990,92,3.1,"Comedy"
"14122",1945,71,3.5,"Drama"
"14123",1967,109,6,"Comedy"
"14124",1998,80,7,"Documentary"
"14125",1993,83,4.4,"Comedy"
"14126",1932,81,5.2,"Drama"
"14127",1938,91,6.8,"Comedy"
"14128",2003,117,4.9,"Comedy"
"14129",1998,100,6,"Drama"
"14130",2002,86,3.4,"Comedy"
"14131",1930,82,6.7,"Drama"
"14132",1998,110,6.8,"Comedy"
"14133",1980,106,1.9,"Comedy"
"14134",1961,104,8,"Comedy"
"14135",1980,10,8.3,"Documentary"
"14136",2003,83,6,"Documentary"
"14137",1930,100,6.1,"Comedy"
"14138",1943,89,6.2,"Comedy"
"14139",1976,65,6,"Misc"
"14140",1976,88,4.5,"Action"
"14141",1960,6,6.5,"Animation"
"14142",1944,72,4.6,"Misc"
"14143",1988,90,4.1,"Comedy"
"14144",1954,8,7.6,"Animation"
"14145",1979,110,5.3,"Romance"
"14146",1943,18,7.4,"Comedy"
"14147",1930,6,5.5,"Animation"
"14148",1935,7,6,"Animation"
"14149",1937,20,7.7,"Comedy"
"14150",1943,17,7.1,"Comedy"
"14151",1931,6,6,"Animation"
"14152",1997,88,8.8,"Misc"
"14153",1966,91,7.1,"Action"
"14154",1987,88,4.6,"Misc"
"14155",1969,107,5.4,"Action"
"14156",1966,83,5.4,"Misc"
"14157",1964,83,6.8,"Drama"
"14158",2004,29,7.9,"Drama"
"14159",1994,24,7,"Short"
"14160",2002,98,6.7,"Comedy"
"14161",2000,94,6.8,"Misc"
"14162",1957,75,5.8,"Drama"
"14163",1999,106,7.7,"Drama"
"14164",1923,5,6,"Short"
"14165",1975,78,7.6,"Misc"
"14166",2003,105,2.3,"Misc"
"14167",2000,80,6.4,"Drama"
"14168",1988,133,8.5,"Misc"
"14169",1957,124,8.5,"Drama"
"14170",1953,142,8.4,"Drama"
"14171",1927,19,7.8,"Comedy"
"14172",2004,10,5.9,"Short"
"14173",2002,73,3.8,"Comedy"
"14174",2000,97,6.1,"Documentary"
"14175",1997,103,5.1,"Drama"
"14176",1965,102,5.5,"Comedy"
"14177",1999,94,4.7,"Action"
"14178",1994,4,7.4,"Animation"
"14179",1969,165,7.8,"Drama"
"14180",1954,9,6.4,"Comedy"
"14181",1946,91,6,"Misc"
"14182",2003,54,7.6,"Documentary"
"14183",1994,26,8.5,"Documentary"
"14184",1997,104,3.8,"Comedy"
"14185",2001,90,2.8,"Misc"
"14186",1998,97,6.8,"Action"
"14187",1986,104,7.5,"Action"
"14188",1991,97,3.9,"Action"
"14189",1983,15,7.6,"Animation"
"14190",1992,114,2.9,"Drama"
"14191",1964,82,6.3,"Misc"
"14192",1989,120,7.7,"Comedy"
"14193",1960,88,6.4,"Romance"
"14194",1961,6,6.2,"Animation"
"14195",1985,80,4.9,"Misc"
"14196",1976,91,5.1,"Drama"
"14197",1972,87,5.7,"Action"
"14198",1997,103,6.5,"Action"
"14199",1999,4,6.3,"Short"
"14200",1977,90,7.1,"Action"
"14201",1964,74,8.3,"Comedy"
"14202",1958,97,5.9,"Drama"
"14203",1971,78,7.8,"Animation"
"14204",1971,96,5.4,"Misc"
"14205",1991,104,5.8,"Comedy"
"14206",1976,88,1.6,"Comedy"
"14207",1975,100,4.8,"Misc"
"14208",1987,90,7.3,"Drama"
"14209",1962,94,8.2,"Comedy"
"14210",1997,102,6.6,"Comedy"
"14211",1974,101,4.9,"Drama"
"14212",1962,76,6.3,"Comedy"
"14213",1956,78,5,"Drama"
"14214",1993,93,8,"Drama"
"14215",1948,64,5.6,"Drama"
"14216",1945,62,7,"Comedy"
"14217",1928,76,7.8,"Drama"
"14218",1997,100,4,"Misc"
"14219",1981,90,5,"Misc"
"14220",1975,105,4.1,"Action"
"14221",1990,102,6.7,"Drama"
"14222",1972,100,6.2,"Comedy"
"14223",1933,77,5.1,"Comedy"
"14224",1984,7,8.2,"Animation"
"14225",1983,89,4.4,"Comedy"
"14226",1967,145,5.8,"Misc"
"14227",1998,85,5.4,"Comedy"
"14228",1978,88,1.6,"Misc"
"14229",1985,90,4,"Misc"
"14230",1967,93,4.7,"Drama"
"14231",1988,88,3,"Comedy"
"14232",1922,60,7,"Comedy"
"14233",1992,74,5.3,"Action"
"14234",2002,108,6.2,"Misc"
"14235",1937,78,5.6,"Drama"
"14236",1940,89,6.5,"Comedy"
"14237",1932,76,6.3,"Misc"
"14238",1965,200,7.9,"Drama"
"14239",1985,93,5.2,"Drama"
"14240",1949,98,5.6,"Drama"
"14241",1957,98,6,"Comedy"
"14242",1955,93,5.7,"Comedy"
"14243",1966,97,5.3,"Comedy"
"14244",1963,102,5.3,"Comedy"
"14245",1960,93,5.6,"Comedy"
"14246",1970,90,5.3,"Comedy"
"14247",1954,92,6.8,"Comedy"
"14248",1958,99,6.3,"Comedy"
"14249",1991,122,6.7,"Drama"
"14250",1967,94,4.1,"Comedy"
"14251",1973,90,3.7,"Comedy"
"14252",1971,101,3.5,"Drama"
"14253",1989,84,5.2,"Documentary"
"14254",1981,56,3.7,"Documentary"
"14255",1981,65,2.2,"Drama"
"14256",1970,140,7.3,"Drama"
"14257",1939,104,7,"Misc"
"14258",1995,81,7,"Comedy"
"14259",2001,20,7,"Short"
"14260",2004,92,6.6,"Comedy"
"14261",1936,101,8.2,"Drama"
"14262",2001,85,6.3,"Drama"
"14263",2003,10,5.4,"Comedy"
"14264",1991,94,4.5,"Comedy"
"14265",2002,5,8.2,"Animation"
"14266",1986,10,8.8,"Short"
"14267",1988,3,4.2,"Animation"
"14268",1951,7,6.4,"Animation"
"14269",1975,124,8,"Drama"
"14270",2000,24,5,"Short"
"14271",1937,7,6.2,"Animation"
"14272",1964,84,5,"Misc"
"14273",1904,4,5.7,"Comedy"
"14274",2004,89,5.8,"Comedy"
"14275",1939,7,6.1,"Animation"
"14276",1960,6,7,"Animation"
"14277",1950,7,6.9,"Animation"
"14278",2003,28,7.2,"Drama"
"14279",1952,6,6.4,"Animation"
"14280",2003,110,7.9,"Comedy"
"14281",1998,91,5.4,"Comedy"
"14282",1954,7,7.7,"Animation"
"14283",1996,104,3.6,"Drama"
"14284",1926,21,8.7,"Comedy"
"14285",2002,104,6.8,"Action"
"14286",2002,124,7.1,"Comedy"
"14287",1962,30,6,"Short"
"14288",1963,7,7.1,"Drama"
"14289",1964,11,6.6,"Drama"
"14290",1964,6,6.7,"Drama"
"14291",1990,93,4.4,"Action"
"14292",1958,8,6.2,"Animation"
"14293",1942,7,6.5,"Animation"
"14294",1942,8,6.3,"Animation"
"14295",2003,13,5.6,"Comedy"
"14296",1945,7,6.6,"Animation"
"14297",1997,75,2.7,"Misc"
"14298",1935,72,5.7,"Drama"
"14299",1960,96,6.9,"Drama"
"14300",1999,100,6,"Drama"
"14301",1918,40,7.7,"Comedy"
"14302",1999,91,3.6,"Misc"
"14303",1969,88,5.6,"Drama"
"14304",1991,89,7.1,"Comedy"
"14305",1947,7,7.5,"Animation"
"14306",1949,8,7.6,"Animation"
"14307",1999,85,3,"Comedy"
"14308",2003,60,7.6,"Animation"
"14309",1999,130,7.3,"Comedy"
"14310",1999,91,2.9,"Comedy"
"14311",1934,7,6.4,"Animation"
"14312",1987,99,8,"Misc"
"14313",2004,80,6.4,"Documentary"
"14314",1975,98,6.3,"Drama"
"14315",1976,90,3.3,"Misc"
"14316",2002,84,7,"Misc"
"14317",1987,103,5.8,"Drama"
"14318",2003,75,6,"Comedy"
"14319",1982,93,3.9,"Misc"
"14320",1923,24,6.4,"Comedy"
"14321",1981,102,6,"Action"
"14322",2002,14,8,"Comedy"
"14323",1996,80,3.8,"Comedy"
"14324",1999,13,6.8,"Short"
"14325",1997,92,5.8,"Drama"
"14326",2001,91,7.4,"Documentary"
"14327",1988,109,7,"Misc"
"14328",2003,135,8,"Drama"
"14329",2003,52,3.6,"Drama"
"14330",1999,105,6.5,"Misc"
"14331",2002,99,6.2,"Misc"
"14332",1999,97,4.3,"Drama"
"14333",1930,17,5.4,"Comedy"
"14334",1998,25,7.3,"Short"
"14335",1944,78,9.1,"Misc"
"14336",1999,90,5.7,"Drama"
"14337",1989,105,5,"Action"
"14338",1988,12,4.7,"Drama"
"14339",1985,81,4.1,"Comedy"
"14340",1988,85,4.6,"Comedy"
"14341",1940,7,5.3,"Animation"
"14342",1997,95,6.1,"Comedy"
"14343",1997,52,9.6,"Documentary"
"14344",2002,100,7.7,"Drama"
"14345",1968,87,4,"Comedy"
"14346",2000,83,7,"Misc"
"14347",1999,110,7,"Drama"
"14348",2003,34,7.6,"Drama"
"14349",1963,90,8.6,"Drama"
"14350",1975,105,6.5,"Drama"
"14351",1977,107,6,"Drama"
"14352",1985,66,7.9,"Animation"
"14353",1982,137,6.9,"Drama"
"14354",1942,89,4.5,"Drama"
"14355",1968,83,5,"Drama"
"14356",1975,102,5.5,"Drama"
"14357",1986,110,8,"Documentary"
"14358",1959,109,7.6,"Action"
"14359",2000,129,7.2,"Drama"
"14360",2002,91,8.7,"Drama"
"14361",1985,110,3.6,"Action"
"14362",2000,61,5.5,"Documentary"
"14363",1968,91,4.7,"Misc"
"14364",1998,119,5.2,"Drama"
"14365",1987,85,2.2,"Romance"
"14366",1999,95,5.7,"Drama"
"14367",1989,9,4.2,"Drama"
"14368",1960,180,8,"Drama"
"14369",1960,95,6.8,"Misc"
"14370",1968,105,4,"Comedy"
"14371",1975,90,5.4,"Action"
"14372",1966,70,8.6,"Drama"
"14373",1982,110,6.8,"Misc"
"14374",1955,82,6.6,"Misc"
"14375",1945,80,5.5,"Romance"
"14376",1974,101,4,"Action"
"14377",1938,78,6.4,"Comedy"
"14378",1981,33,5.8,"Short"
"14379",1965,96,6.2,"Misc"
"14380",1967,86,3.1,"Misc"
"14381",1991,79,4.2,"Action"
"14382",1987,77,5.8,"Misc"
"14383",2002,115,7.7,"Drama"
"14384",1992,93,3.7,"Misc"
"14385",1945,114,6.3,"Drama"
"14386",1964,96,7.3,"Comedy"
"14387",1960,98,9.8,"Comedy"
"14388",1995,132,7.2,"Drama"
"14389",1999,45,6.8,"Misc"
"14390",2000,40,7.3,"Documentary"
"14391",1997,4,7.2,"Short"
"14392",1958,12,7.6,"Animation"
"14393",2003,91,7.6,"Drama"
"14394",2002,104,6.8,"Drama"
"14395",1968,100,7.2,"Documentary"
"14396",1928,64,8.5,"Comedy"
"14397",1991,121,8.2,"Misc"
"14398",1988,142,7.8,"Drama"
"14399",1957,100,6.3,"Drama"
"14400",2001,88,6.2,"Drama"
"14401",1983,100,8.6,"Misc"
"14402",1960,112,6.6,"Drama"
"14403",1992,112,5.5,"Documentary"
"14404",2001,95,6.6,"Drama"
"14405",1950,84,6.9,"Comedy"
"14406",1953,95,4,"Comedy"
"14407",1991,118,6.4,"Drama"
"14408",2001,91,5.4,"Drama"
"14409",2001,196,7,"Documentary"
"14410",2002,160,7.3,"Documentary"
"14411",1974,94,6,"Comedy"
"14412",1970,100,7.5,"Comedy"
"14413",1913,30,7,"Comedy"
"14414",1994,38,4.4,"Documentary"
"14415",1999,23,6.1,"Short"
"14416",2003,75,2.3,"Animation"
"14417",1962,102,5,"Misc"
"14418",1976,64,4,"Misc"
"14419",2004,110,6.8,"Drama"
"14420",1940,10,6.4,"Comedy"
"14421",1945,77,5.7,"Misc"
"14422",1988,111,6.8,"Drama"
"14423",1995,95,5,"Drama"
"14424",1978,100,4,"Misc"
"14425",1988,97,2.9,"Drama"
"14426",1957,74,6.5,"Misc"
"14427",1977,97,4.8,"Drama"
"14428",1988,108,5.3,"Drama"
"14429",1983,126,4.9,"Action"
"14430",1972,111,4.2,"Comedy"
"14431",1955,97,6.7,"Comedy"
"14432",1961,115,6.5,"Comedy"
